start,end,duration,event,op,resource,kind,block
0,0,0,barrier,barrier,Qubit 129,barrier,main
0,0,0,barrier,barrier,Qubit 59,barrier,main
0,0,0,barrier,barrier,Qubit 60,barrier,main
0,0,0,barrier,barrier,Qubit 61,barrier,main
0,0,0,barrier,barrier,Qubit 62,barrier,main
0,0,0,barrier,barrier,Qubit 63,barrier,main
9,2509,2500,qubit_op,INIT_63,Qubit 63,play,main
10,2510,2500,qubit_op,INIT_63,Qubit 63,play,main
1586,1650,64,qubit_op,INIT_129,Qubit 129,play,main
1586,1650,64,qubit_op,INIT_14,Qubit 14,play,main
1586,1650,64,qubit_op,INIT_54,Qubit 54,play,main
1586,1650,64,qubit_op,INIT_59,Qubit 59,play,main
1586,1650,64,qubit_op,INIT_60,Qubit 60,play,main
1586,1650,64,qubit_op,INIT_61,Qubit 61,play,main
1586,1650,64,qubit_op,INIT_62,Qubit 62,play,main
1650,1722,72,qubit_op,INIT_129,Qubit 129,play,main
1650,1722,72,qubit_op,INIT_14,Qubit 14,play,main
1650,1722,72,qubit_op,INIT_54,Qubit 54,play,main
1650,1722,72,qubit_op,INIT_59,Qubit 59,play,main
1650,1722,72,qubit_op,INIT_60,Qubit 60,play,main
1650,1722,72,qubit_op,INIT_61,Qubit 61,play,main
1650,1722,72,qubit_op,INIT_62,Qubit 62,play,main
1697,1937,240,other,INIT_129,AWGR10_129,capture,main
1697,1937,240,other,INIT_54,AWGR12_54,capture,main
1697,1937,240,other,INIT_14,AWGR6_14,capture,main
1697,1937,240,other,INIT_59,AWGR8_59,capture,main
1697,1937,240,other,INIT_60,AWGR8_60,capture,main
1697,1937,240,other,INIT_61,AWGR8_61,capture,main
1697,1937,240,other,INIT_62,AWGR8_62,capture,main
1722,1786,64,qubit_op,INIT_129,Qubit 129,play,main
1722,1786,64,qubit_op,INIT_14,Qubit 14,play,main
1722,1786,64,qubit_op,INIT_54,Qubit 54,play,main
1722,1786,64,qubit_op,INIT_59,Qubit 59,play,main
1722,1786,64,qubit_op,INIT_60,Qubit 60,play,main
1722,1786,64,qubit_op,INIT_61,Qubit 61,play,main
1722,1786,64,qubit_op,INIT_62,Qubit 62,play,main
2040,2048,8,qubit_op,INIT_129,Qubit 129,play,main
2040,2048,8,qubit_op,INIT_14,Qubit 14,play,main
2040,2048,8,qubit_op,INIT_54,Qubit 54,play,main
2040,2048,8,qubit_op,INIT_59,Qubit 59,play,main
2040,2048,8,qubit_op,INIT_60,Qubit 60,play,main
2040,2048,8,qubit_op,INIT_61,Qubit 61,play,main
2040,2048,8,qubit_op,INIT_62,Qubit 62,play,main
2048,2112,64,qubit_op,INIT_129,Qubit 129,play,main
2048,2112,64,qubit_op,INIT_14,Qubit 14,play,main
2048,2112,64,qubit_op,INIT_54,Qubit 54,play,main
2048,2112,64,qubit_op,INIT_59,Qubit 59,play,main
2048,2112,64,qubit_op,INIT_60,Qubit 60,play,main
2048,2112,64,qubit_op,INIT_61,Qubit 61,play,main
2048,2112,64,qubit_op,INIT_62,Qubit 62,play,main
2112,2184,72,qubit_op,INIT_129,Qubit 129,play,main
2112,2184,72,qubit_op,INIT_14,Qubit 14,play,main
2112,2184,72,qubit_op,INIT_54,Qubit 54,play,main
2112,2184,72,qubit_op,INIT_59,Qubit 59,play,main
2112,2184,72,qubit_op,INIT_60,Qubit 60,play,main
2112,2184,72,qubit_op,INIT_61,Qubit 61,play,main
2112,2184,72,qubit_op,INIT_62,Qubit 62,play,main
2159,2399,240,other,INIT_129,AWGR10_129,capture,main
2159,2399,240,other,INIT_54,AWGR12_54,capture,main
2159,2399,240,other,INIT_14,AWGR6_14,capture,main
2159,2399,240,other,INIT_59,AWGR8_59,capture,main
2159,2399,240,other,INIT_60,AWGR8_60,capture,main
2159,2399,240,other,INIT_61,AWGR8_61,capture,main
2159,2399,240,other,INIT_62,AWGR8_62,capture,main
2184,2248,64,qubit_op,INIT_129,Qubit 129,play,main
2184,2248,64,qubit_op,INIT_14,Qubit 14,play,main
2184,2248,64,qubit_op,INIT_54,Qubit 54,play,main
2184,2248,64,qubit_op,INIT_59,Qubit 59,play,main
2184,2248,64,qubit_op,INIT_60,Qubit 60,play,main
2184,2248,64,qubit_op,INIT_61,Qubit 61,play,main
2184,2248,64,qubit_op,INIT_62,Qubit 62,play,main
2502,2510,8,qubit_op,INIT_129,Qubit 129,play,main
2502,2510,8,qubit_op,INIT_14,Qubit 14,play,main
2502,2510,8,qubit_op,INIT_54,Qubit 54,play,main
2502,2510,8,qubit_op,INIT_59,Qubit 59,play,main
2502,2510,8,qubit_op,INIT_60,Qubit 60,play,main
2502,2510,8,qubit_op,INIT_61,Qubit 61,play,main
2502,2510,8,qubit_op,INIT_62,Qubit 62,play,main
2510,2510,0,barrier,barrier,Qubit 129,barrier,main
2510,2510,0,barrier,barrier,Qubit 14,barrier,main
2510,2510,0,barrier,barrier,Qubit 54,barrier,main
2510,2510,0,barrier,barrier,Qubit 59,barrier,main
2510,2510,0,barrier,barrier,Qubit 60,barrier,main
2510,2510,0,barrier,barrier,Qubit 61,barrier,main
2510,2510,0,barrier,barrier,Qubit 62,barrier,main
2510,2510,0,barrier,barrier,Qubit 63,barrier,main
2512,2512,0,qubit_op,rz_54,Qubit 54,shift_phase,main
2512,2520,8,qubit_op,sx_54,Qubit 54,play,main
2512,2512,0,qubit_op,rz_61,Qubit 61,shift_phase,main
2512,2520,8,qubit_op,sx_61,Qubit 61,play,main
2516,2516,0,qubit_op,sx_54,Qubit 54,shift_phase,main
2516,2516,0,qubit_op,sx_61,Qubit 61,shift_phase,main
2520,2558,38,cz,cz_61_54,Qubit 54,play,main
2520,2520,0,qubit_op,rz_54,Qubit 54,shift_phase,main
2520,2558,38,cz,cz_61_54,Qubit 61,play,main
2520,2520,0,qubit_op,rz_61,Qubit 61,shift_phase,main
2558,2558,0,cz,cz_61_54,Qubit 54,shift_phase,main
2558,2558,0,qubit_op,rz_54,Qubit 54,shift_phase,main
2558,2566,8,qubit_op,sx_54,Qubit 54,play,main
2558,2558,0,cz,cz_61_54,Qubit 61,shift_phase,main
2558,2566,8,qubit_op,x_63,Qubit 63,play,main
2562,2562,0,qubit_op,sx_54,Qubit 54,shift_phase,main
2566,2566,0,barrier,barrier,Qubit 129,barrier,main
2566,2566,0,barrier,barrier,Qubit 14,barrier,main
2566,2566,0,barrier,barrier,Qubit 54,barrier,main
2566,2566,0,qubit_op,rz_54,Qubit 54,shift_phase,main
2566,2566,0,barrier,barrier,Qubit 59,barrier,main
2566,2566,0,barrier,barrier,Qubit 60,barrier,main
2566,2566,0,barrier,barrier,Qubit 61,barrier,main
2566,2566,0,barrier,barrier,Qubit 62,barrier,main
2566,2566,0,qubit_op,rz_62,Qubit 62,shift_phase,main
2566,2574,8,qubit_op,sx_62,Qubit 62,play,main
2566,2566,0,barrier,barrier,Qubit 63,barrier,main
2570,2570,0,qubit_op,sx_62,Qubit 62,shift_phase,main
2574,2591,17,cz,cz_61_62,Qubit 61,play,main
2574,2591,17,cz,cz_61_62,Qubit 62,play,main
2574,2574,0,qubit_op,rz_62,Qubit 62,shift_phase,main
2591,2591,0,cz,cz_61_62,Qubit 61,shift_phase,main
2591,2591,0,cz,cz_61_62,Qubit 62,shift_phase,main
2591,2591,0,qubit_op,rz_62,Qubit 62,shift_phase,main
2591,2599,8,qubit_op,sx_62,Qubit 62,play,main
2595,2595,0,qubit_op,sx_62,Qubit 62,shift_phase,main
2599,2599,0,barrier,barrier,Qubit 129,barrier,main
2599,2599,0,barrier,barrier,Qubit 14,barrier,main
2599,2599,0,barrier,barrier,Qubit 54,barrier,main
2599,2599,0,barrier,barrier,Qubit 59,barrier,main
2599,2599,0,barrier,barrier,Qubit 60,barrier,main
2599,2599,0,barrier,barrier,Qubit 61,barrier,main
2599,2599,0,barrier,barrier,Qubit 62,barrier,main
2599,2599,0,qubit_op,rz_62,Qubit 62,shift_phase,main
2599,2599,0,barrier,barrier,Qubit 63,barrier,main
2599,2599,0,qubit_op,rz_63,Qubit 63,shift_phase,main
2599,2607,8,qubit_op,sx_63,Qubit 63,play,main
2603,2603,0,qubit_op,sx_63,Qubit 63,shift_phase,main
2607,2648,41,cz,cz_62_63,Qubit 62,play,main
2607,2648,41,cz,cz_62_63,Qubit 63,play,main
2607,2607,0,qubit_op,rz_63,Qubit 63,shift_phase,main
2648,2648,0,cz,cz_62_63,Qubit 62,shift_phase,main
2648,2648,0,cz,cz_62_63,Qubit 63,shift_phase,main
2648,2648,0,qubit_op,rz_63,Qubit 63,shift_phase,main
2648,2656,8,qubit_op,sx_63,Qubit 63,play,main
2652,2652,0,qubit_op,sx_63,Qubit 63,shift_phase,main
2656,2656,0,barrier,barrier,Qubit 129,barrier,main
2656,2656,0,barrier,barrier,Qubit 14,barrier,main
2656,2656,0,barrier,barrier,Qubit 54,barrier,main
2656,2656,0,barrier,barrier,Qubit 59,barrier,main
2656,2656,0,barrier,barrier,Qubit 60,barrier,main
2656,2656,0,barrier,barrier,Qubit 61,barrier,main
2656,2656,0,qubit_op,rz_61,Qubit 61,shift_phase,main
2656,2664,8,qubit_op,sx_61,Qubit 61,play,main
2656,2656,0,barrier,barrier,Qubit 62,barrier,main
2656,2656,0,barrier,barrier,Qubit 63,barrier,main
2656,2656,0,qubit_op,rz_63,Qubit 63,shift_phase,main
2660,2660,0,qubit_op,sx_61,Qubit 61,shift_phase,main
2664,2664,0,qubit_op,rz_60,Qubit 60,shift_phase,main
2664,2672,8,qubit_op,sx_60,Qubit 60,play,main
2664,2664,0,qubit_op,rz_61,Qubit 61,shift_phase,main
2664,2672,8,qubit_op,sx_61,Qubit 61,play,main
2668,2668,0,qubit_op,sx_60,Qubit 60,shift_phase,main
2668,2668,0,qubit_op,sx_61,Qubit 61,shift_phase,main
2672,2689,17,cz,cz_61_60,Qubit 60,play,main
2672,2672,0,qubit_op,rz_60,Qubit 60,shift_phase,main
2672,2689,17,cz,cz_61_60,Qubit 61,play,main
2672,2672,0,qubit_op,rz_61,Qubit 61,shift_phase,main
2689,2689,0,cz,cz_61_60,Qubit 60,shift_phase,main
2689,2689,0,qubit_op,rz_60,Qubit 60,shift_phase,main
2689,2697,8,qubit_op,sx_60,Qubit 60,play,main
2689,2689,0,cz,cz_61_60,Qubit 61,shift_phase,main
2693,2693,0,qubit_op,sx_60,Qubit 60,shift_phase,main
2697,2697,0,barrier,barrier,Qubit 129,barrier,main
2697,2697,0,barrier,barrier,Qubit 14,barrier,main
2697,2697,0,barrier,barrier,Qubit 54,barrier,main
2697,2697,0,barrier,barrier,Qubit 59,barrier,main
2697,2697,0,qubit_op,rz_59,Qubit 59,shift_phase,main
2697,2705,8,qubit_op,sx_59,Qubit 59,play,main
2697,2697,0,barrier,barrier,Qubit 60,barrier,main
2697,2697,0,qubit_op,rz_60,Qubit 60,shift_phase,main
2697,2697,0,barrier,barrier,Qubit 61,barrier,main
